aX,aY,aZ,gX,gY,gZ
-0.056,0.285,-0.169,41.809,19.165,14.587
-0.167,0.478,-0.053,43.213,15.686,10.681
-0.350,0.701,0.118,41.565,22.522,8.118
-0.531,0.864,0.439,43.274,39.063,7.263
-0.650,0.990,0.746,45.593,48.889,6.653
-0.729,1.185,0.963,45.959,38.330,7.263
-0.716,1.593,0.950,43.762,12.695,9.399
-0.731,1.992,0.849,42.908,-14.893,10.742
-0.811,2.263,0.771,30.823,-32.288,11.841
-0.840,2.401,0.851,9.949,-25.696,4.944
-0.864,2.343,0.985,-11.536,-10.071,-0.793
-0.895,2.250,1.107,-28.381,5.981,-7.202
-0.854,2.250,1.079,-32.043,26.367,-14.221
-0.770,2.243,0.993,-21.423,43.152,-17.822
-0.791,2.290,0.934,-9.033,47.607,-16.907
-0.844,2.380,0.905,4.578,43.579,-13.245
-0.927,2.596,0.846,16.174,27.344,-13.306
-0.964,2.618,0.811,20.264,1.831,-12.939
-0.947,2.381,0.764,14.343,-24.414,-7.263
-0.868,2.079,0.675,7.507,-42.419,1.099
-0.736,1.814,0.589,5.981,-49.500,6.592
-0.606,1.572,0.537,3.906,-48.401,7.751
-0.511,1.362,0.501,-0.122,-44.067,4.578
-0.455,1.185,0.478,-3.662,-37.476,-3.052
-0.401,1.035,0.460,-4.272,-28.259,-12.451
-0.346,0.888,0.425,-1.648,-20.325,-20.813
-0.271,0.761,0.350,3.906,-15.991,-26.306
-0.215,0.650,0.274,8.667,-16.357,-29.907
-0.184,0.560,0.254,8.850,-19.592,-31.555
-0.168,0.502,0.237,5.981,-20.569,-29.297
-0.158,0.450,0.203,3.540,-20.447,-25.085
-0.142,0.379,0.189,0.916,-23.132,-20.020
-0.122,0.293,0.173,-0.610,-30.212,-15.259
-0.084,0.225,0.143,2.197,-39.734,-11.230
-0.030,0.162,0.105,8.972,-46.753,-8.179
0.028,0.115,0.080,15.808,-47.852,-6.104
0.068,0.124,0.073,19.958,-41.138,-3.784
0.062,0.160,0.051,21.667,-28.503,-1.587
0.021,0.201,0.042,20.813,-14.343,1.465
-0.045,0.246,0.055,16.113,-5.005,4.517
-0.123,0.286,0.085,8.484,-2.136,5.310
-0.191,0.333,0.130,-0.061,-2.686,4.456
-0.234,0.421,0.186,-5.615,-4.761,3.845
-0.271,0.504,0.238,-3.967,-6.531,5.432
-0.257,0.538,0.277,4.211,-3.723,10.071
-0.249,0.564,0.301,16.052,3.113,16.174
-0.253,0.601,0.310,29.907,10.742,21.729
-0.244,0.668,0.256,40.100,16.907,24.780
-0.245,0.746,0.221,44.434,18.311,25.085
-0.300,0.822,0.234,44.373,15.869,22.827
-0.383,0.923,0.292,41.382,11.841,19.714
-0.442,1.030,0.348,36.743,9.033,16.846
-0.464,1.144,0.408,27.222,8.667,13.733
-0.457,1.246,0.453,14.587,9.399,11.963
-0.435,1.327,0.462,4.883,10.254,10.864
-0.418,1.387,0.431,-1.709,10.620,10.376
-0.413,1.468,0.379,-7.751,9.033,10.498
-0.424,1.522,0.336,-11.353,4.944,9.583
-0.430,1.531,0.293,-11.902,-0.854,6.226
-0.423,1.485,0.256,-10.681,-6.531,1.892
-0.422,1.423,0.249,-7.019,-10.498,-0.183
-0.402,1.328,0.255,-2.136,-14.404,-1.099
-0.408,1.259,0.299,0.122,-20.508,-2.380
-0.699,1.994,1.381,109.436,-0.427,60.913
-0.785,2.444,1.410,125.671,-2.319,42.297
-0.751,2.528,1.467,142.090,15.015,28.015
-0.596,2.603,1.491,129.272,40.344,31.067
-0.687,2.717,1.414,101.990,34.546,31.921
