aX,aY,aZ,gX,gY,gZ
0.057,0.878,-0.308,-51.331,-104.065,28.564
0.038,0.938,-0.286,-63.232,-106.628,36.621
0.067,0.971,-0.263,-63.965,-109.131,42.114
0.064,0.970,-0.291,-55.542,-109.558,43.396
0.037,0.940,-0.361,-46.387,-108.398,41.809
0.021,0.862,-0.400,-33.081,-106.812,37.231
-0.009,0.845,-0.383,-17.944,-107.910,32.593
-0.041,0.794,-0.382,1.343,-108.337,25.757
-0.099,0.692,-0.385,21.362,-106.750,17.029
-0.156,0.644,-0.364,33.203,-106.628,10.193
-0.206,0.614,-0.244,41.809,-107.544,4.333
-0.252,0.639,-0.009,53.101,-107.971,-1.648
-0.323,0.739,0.169,71.228,-105.469,-8.667
-0.383,0.837,0.231,93.933,-98.938,-17.883
-0.356,1.056,0.237,98.633,-96.313,-21.179
-0.384,1.235,0.241,90.820,-101.685,-22.095
-0.331,1.383,0.123,74.585,-98.389,-22.583
-0.201,1.496,-0.007,25.574,-89.355,-17.456
-0.017,1.726,-0.199,-34.424,-84.778,-6.226
0.021,1.905,-0.167,-51.758,-95.947,-0.183
-0.009,1.903,-0.044,-29.358,-106.384,0.671
-0.108,1.741,-0.054,3.723,-100.830,-0.366
-0.154,1.565,-0.142,27.344,-94.421,0.671
-0.164,1.502,-0.186,36.560,-96.802,4.333
-0.170,1.468,-0.194,39.551,-101.685,8.850
-0.205,1.398,-0.229,41.565,-103.455,12.329
-0.250,1.331,-0.227,42.114,-106.384,16.113
-0.260,1.278,-0.142,43.152,-113.403,19.775
-0.244,1.247,-0.014,43.701,-121.094,21.790
-0.248,1.210,0.040,44.128,-124.084,22.705
-0.271,1.118,0.015,45.288,-123.108,21.301
-0.291,1.007,-0.024,44.434,-120.850,19.653
-0.298,0.886,-0.047,40.894,-119.141,19.226
-0.281,0.829,-0.049,35.095,-117.798,20.142
-0.266,0.779,-0.056,30.518,-116.882,21.484
-0.223,0.781,-0.069,28.564,-117.004,22.034
-0.211,0.721,-0.072,26.184,-117.859,20.813
-0.188,0.689,-0.080,21.851,-117.615,19.958
-0.170,0.677,-0.071,15.015,-115.845,20.874
-0.152,0.669,-0.053,9.705,-112.976,20.447
-0.143,0.676,-0.020,7.080,-109.192,19.653
-0.124,0.680,0.006,5.920,-103.516,17.761
-0.102,0.639,0.013,7.141,-96.313,14.587
-0.107,0.605,0.014,11.108,-89.722,9.949
-0.117,0.531,-0.009,14.343,-84.290,6.104
-0.115,0.503,-0.029,16.479,-80.383,5.981
-0.092,0.517,-0.036,16.296,-77.209,7.324
-0.082,0.532,-0.021,18.372,-75.317,7.324
-0.049,0.542,-0.009,21.790,-73.547,5.188
-0.010,0.554,0.025,25.330,-73.181,3.296
0.003,0.601,0.038,32.410,-72.571,1.953
0.017,0.671,0.000,41.138,-70.923,-0.427
0.036,0.735,-0.055,50.598,-70.129,-3.906
0.042,0.773,-0.079,60.059,-73.486,-8.606
0.012,0.821,-0.111,65.796,-77.820,-12.634
-0.001,0.877,-0.085,65.979,-82.275,-14.404
-0.007,0.982,-0.000,62.561,-89.661,-13.428
0.001,1.082,0.107,62.378,-97.534,-14.832
-0.016,1.110,0.172,68.970,-101.868,-20.935
-0.105,1.082,0.177,74.097,-102.234,-29.663
